id, class, score, x, y, w, h
1, motorcycle, 0.40, 1600, 267, 32, 38
2, motorcycle, 0.40, 303, 908, 95, 151
3, person, 0.41, 1285, 469, 40, 80
4, person, 0.42, 632, 563, 53, 117
5, motorcycle, 0.42, 635, 468, 41, 86
6, person, 0.43, 583, 547, 46, 98
7, person, 0.43, 304, 838, 90, 162
8, car, 0.44, 918, 210, 21, 21
9, person, 0.44, 494, 508, 44, 76
10, person, 0.44, 712, 654, 57, 129
11, person, 0.44, 668, 610, 53, 122
12, motorcycle, 0.45, 821, 465, 38, 52
13, motorcycle, 0.45, 902, 548, 51, 79
14, motorcycle, 0.45, 757, 335, 20, 35
15, motorcycle, 0.46, 1659, 313, 51, 51
16, motorcycle, 0.46, 1810, 353, 54, 56
17, motorcycle, 0.46, 347, 1020, 120, 60
18, person, 0.48, 816, 591, 54, 121
19, person, 0.48, 874, 494, 44, 92
20, motorcycle, 0.49, 500, 554, 36, 54
21, motorcycle, 0.50, 1754, 361, 55, 59
22, car, 0.50, 1016, 309, 59, 50
23, motorcycle, 0.51, 1144, 417, 27, 44
24, person, 0.51, 677, 737, 81, 145
25, motorcycle, 0.52, 394, 752, 87, 136
26, person, 0.52, 1129, 551, 49, 102
27, motorcycle, 0.52, 695, 519, 56, 83
28, person, 0.52, 338, 948, 122, 132
29, motorcycle, 0.53, 1336, 484, 36, 57
30, car, 0.53, 750, 238, 28, 24
31, motorcycle, 0.53, 540, 497, 73, 79
32, person, 0.53, 1334, 452, 40, 80
33, car, 0.53, 583, 338, 85, 56
34, motorcycle, 0.54, 803, 521, 41, 83
35, person, 0.55, 1855, 273, 23, 57
36, person, 0.56, 317, 587, 43, 55
37, motorcycle, 0.56, 876, 531, 42, 74
38, person, 0.56, 492, 625, 60, 112
39, motorcycle, 0.56, 635, 608, 51, 84
40, truck, 0.57, 946, 280, 57, 58
41, person, 0.57, 1094, 472, 39, 79
42, car, 0.57, 898, 228, 29, 23
43, motorcycle, 0.57, 818, 628, 52, 108
44, motorcycle, 0.58, 683, 801, 69, 88
45, motorcycle, 0.59, 489, 676, 70, 102
46, motorcycle, 0.59, 385, 519, 112, 74
47, motorcycle, 0.59, 586, 575, 42, 88
48, person, 0.59, 1397, 459, 40, 47
49, motorcycle, 0.61, 1288, 501, 36, 64
50, motorcycle, 0.62, 669, 649, 49, 94
51, motorcycle, 0.63, 541, 741, 85, 97
52, motorcycle, 0.63, 1, 881, 180, 165
53, motorcycle, 0.63, 1095, 505, 36, 67
54, car, 0.63, 1043, 345, 69, 55
55, motorcycle, 0.64, 1503, 289, 33, 38
56, person, 0.66, 1085, 665, 74, 134
57, bus, 0.66, 788, 231, 55, 56
58, person, 0.67, 1811, 330, 53, 74
59, car, 0.68, 942, 334, 54, 61
60, person, 0.68, 498, 795, 76, 138
61, car, 0.70, 1326, 242, 58, 41
62, motorcycle, 0.71, 785, 748, 65, 114
63, bus, 0.71, 791, 221, 82, 61
64, car, 0.73, 975, 240, 33, 29
65, car, 0.73, 914, 367, 71, 70
66, motorcycle, 0.74, 496, 858, 77, 128
67, motorcycle, 0.74, 1131, 592, 47, 88
68, person, 0.75, 0, 690, 48, 133
69, car, 0.76, 883, 276, 40, 39
70, person, 0.77, 1244, 686, 67, 133
71, motorcycle, 0.79, 1082, 713, 78, 129
72, car, 0.80, 1023, 376, 93, 96
73, car, 0.80, 1108, 328, 71, 54
74, car, 0.81, 885, 393, 100, 121
75, bus, 0.81, 590, 343, 155, 163
76, motorcycle, 0.82, 1229, 747, 90, 122
77, car, 0.83, 1172, 362, 111, 96
78, car, 0.84, 862, 626, 205, 297
79, car, 0.85, 1250, 902, 360, 178
80, car, 0.87, 457, 870, 329, 210
81, car, 0.89, 1172, 481, 142, 128
82, car, 0.90, 205, 624, 276, 212
83, car, 0.90, 1351, 503, 184, 142
84, car, 0.92, 1318, 614, 309, 279
85, car, 0.93, 1561, 653, 333, 250
