id, class, score, x, y, w, h
1, person, 0.41, 1285, 469, 40, 80
2, person, 0.42, 632, 563, 53, 117
3, person, 0.43, 583, 547, 46, 98
4, person, 0.43, 304, 838, 90, 162
5, car, 0.44, 918, 210, 21, 21
6, person, 0.44, 494, 508, 44, 76
7, person, 0.44, 712, 654, 57, 129
8, person, 0.44, 668, 610, 53, 122
9, person, 0.48, 816, 591, 54, 121
10, person, 0.48, 874, 494, 44, 92
11, car, 0.50, 1016, 309, 59, 50
12, person, 0.51, 677, 737, 81, 145
13, person, 0.52, 1129, 551, 49, 102
14, person, 0.52, 338, 948, 122, 132
15, car, 0.53, 750, 238, 28, 24
16, person, 0.53, 1334, 452, 40, 80
17, car, 0.53, 583, 338, 85, 56
18, person, 0.55, 1855, 273, 23, 57
19, person, 0.56, 317, 587, 43, 55
20, person, 0.56, 492, 625, 60, 112
21, person, 0.57, 1094, 472, 39, 79
22, car, 0.57, 898, 228, 29, 23
23, person, 0.59, 1397, 459, 40, 47
24, car, 0.63, 1043, 345, 69, 55
25, person, 0.66, 1085, 665, 74, 134
26, person, 0.67, 1811, 330, 53, 74
27, car, 0.68, 942, 334, 54, 61
28, person, 0.68, 498, 795, 76, 138
29, car, 0.70, 1326, 242, 58, 41
30, car, 0.73, 975, 240, 33, 29
31, car, 0.73, 914, 367, 71, 70
32, person, 0.75, 0, 690, 48, 133
33, car, 0.76, 883, 276, 40, 39
34, person, 0.77, 1244, 686, 67, 133
35, car, 0.80, 1023, 376, 93, 96
36, car, 0.80, 1108, 328, 71, 54
37, car, 0.81, 885, 393, 100, 121
38, car, 0.83, 1172, 362, 111, 96
39, car, 0.84, 862, 626, 205, 297
40, car, 0.85, 1250, 902, 360, 178
41, car, 0.87, 457, 870, 329, 210
42, car, 0.89, 1172, 481, 142, 128
43, car, 0.90, 205, 624, 276, 212
44, car, 0.90, 1351, 503, 184, 142
45, car, 0.92, 1318, 614, 309, 279
46, car, 0.93, 1561, 653, 333, 250
